player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Dylan Strome,ARI,Center,3.369,3.369,0.925,0.925,0.833,RFA,
Casey Cizikas,NYI,Center,3.350,3.350,2.500,3.000,3.500,3.750,4.000
Radko Gudas,PHI,Defence,3.350,3.350,4.000,3.500,3.400,2.500,UFA
Tyler Johnson,TBL,Center,3.333,0.000,4.000,RFA,,,
Ondrej Palat,TBL,Left,3.333,0.000,4.000,RFA,,,
Jamie McGinn,ARI,Left,3.333,3.333,3.000,3.500,3.500,UFA,
Cody Franson,BUF,Defence,3.325,0.000,3.325,UFA,,,
Cam Ward,CAR,Goaltender,3.300,3.300,3.500,3.100,UFA,,
Josh Bailey,NYI,Center,3.300,3.300,3.700,4.000,UFA,,
Trevor Daley,PIT,Defence,3.300,0.000,2.700,UFA,,,
Joel Ward,SJS,Right,3.275,3.275,3.275,3.275,UFA,,
Brenden Dillon,SJS,Defence,3.270,3.270,2.750,3.400,3.900,3.900,UFA
Andrew Ference,EDM,Defence,3.250,0.000,3.250,UFA,,,
Radim Vrbata,ARI,Right,3.250,0.000,1.000,UFA,,,
Jonathan Huberdeau,FLA,Center,3.250,5.900,4.000,6.200,6.200,6.200,5.300
Clayton Stoner,ANA,Defence,3.250,3.250,3.250,3.250,UFA,,
Justin Williams,WAS,Right,3.250,0.000,3.250,UFA,,,
Tyler Toffoli,LAK,Center,3.250,0.000,3.900,RFA,,,
Griffin Reinhart,EDM,Defence,3.213,0.000,0.833,RFA,,,
Charlie Coyle,MIN,Center,3.200,3.200,2.600,3.500,3.750,4.250,UFA
Zbynek Michalek,ARI,Defence,3.200,0.000,3.200,UFA,,,
Zbynek Michalek,ARI,Defence,3.200,0.000,3.200,UFA,,,
Jonathan Drouin,TBL,Left,3.194,0.000,0.833,RFA,,,
Sam Bennett,CGY,Center,3.194,3.194,0.925,0.833,RFA,,
Matt Stajan,CGY,Center,3.125,3.125,3.000,2.500,UFA,,
