player,position,signed_after_season,length_years,cap_hit
Johns,D,2017-2018,3,2350000
Oesterle,D,2018-2019,2,1400000
Kukan,D,2018-2019,2,1650000
Harrington,D,2018-2019,3,1633333
Lyubushkin,D,2019-2020,1,1000000
Grezlyk,D,2019-2020,4,3687500
Montour,D,2019-2020,1,3850000
D Toews,D,2019-2020,4,4100000
Stecher,D,2019-2020,2,1700000
Weegar,D,2019-2020,3,3250000
Macdermid,D,2019-2020,2,875000
Soucy,D,2019-2020,3,2750000
Benning,D,2019-2020,2,1000000
Pulock,D,2019-2020,2,5000000
Brown,D,2019-2020,2,1200000
Ceci,D,2019-2020,1,1250000
Riikola,D,2019-2020,2,1150000
Suter,D,2011-2012,13,7538462
Martinez,D,2013-2014,6,4000000
EJ,D,2014-2015,7,6000000
Petry - 1,D,2014-2015,6,5500000
Moore,D,2017-2018,5,2750000
De Haan,D,2017-2018,4,4550000
Ellis,D,2017-2018,8,6250000
Schmidt,D,2017-2018,6,5950000
Kempny,D,2017-2018,4,2500000
Nemeth,D,2018-2019,2,3000000
Faulk,D,2018-2019,7,6500000
Holl,D,2018-2019,3,2000000
Joakim Ryan,D,2019-2020,1,700000
Edmunson,D,2019-2020,4,3500000
Simek,D,2019-2020,4,2250000
Demelo,D,2019-2020,4,3000000
Beaulieu,D,2019-2020,2,1250000
Marc Staal,D,2014-2015,6,5700000
Demers,D,2015-2016,5,4500000
Smith,D,2016-2017,4,4350000
Barbeiro,D,2017-2018,2,1450000
Connauton,D,2017-2018,2,1375000
Doughty - 2,D,2017-2018,8,11000000
Pateryn,D,2017-2018,3,2250000
Carlson,D,2017-2018,8,8000000
Chiarot,D,2018-2019,3,3500000
Jensen,D,2018-2019,4,2500000
Psysk,D,2019-2020,1,750000
Merrill,D,2019-2020,1,925000
Gustaffson,D,2019-2020,1,3000000
Schenn,D,2019-2020,1,800000
Forbort,D,2019-2020,1,1000000
Yandle,D,2015-2016,7,6350000
Bortuzzo,D,2016-2017,3,1375000
Cole,D,2017-2018,3,4250000
McDonagh,D,2017-2018,7,6750000
Gardiner,D,2018-2019,4,4050000
Spurgeon,D,2018-2019,7,7575000
Josi,D,2018-2019,8,9059000
Karlsson,D,2018-2019,8,11500000
Myers,D,2018-2019,5,6000000
Barrie,D,2019-2020,1,3750000
Kulikov,D,2019-2020,1,1150000
Krug,D,2019-2020,7,6500000
Dillon,D,2019-2020,4,3900000
TVR,D,2019-2020,1,800000
Seabrook,D,2014-2015,8,6875000
Goligoski,D,2015-2016,5,5475000
Russell,D,2016-2017,4,4000000
Vlasic,D,2016-2017,8,7000000
Hunt,D,2018-2019,2,700000
Ruhwedel,D,2018-2019,1,750000
Tanev,D,2019-2020,4,4500000
Gudas,D,2019-2020,3,2500000
Bitetto,D,2019-2020,2,737500
Scandella,D,2019-2020,4,3275000
Rutta,D,2019-2020,2,1300000
Brodie,D,2019-2020,4,5000000
Bogo,D,2019-2020,1,1000000
Pietrangelo,D,2019-2020,7,8800000
Schultz,D,2019-2020,2,4000000
Sbisa,D,2019-2020,1,800000
Greene,D,2013-2014,5,5000000
Giordano,D,2014-2015,6,6750000
Boychuk,D,2014-2015,7,6000000
Burns,D,2015-2016,8,8000000
Hjallmarsson,D,2017-2018,2,5000000
Fedun,D,2018-2019,2,737500
Shattenkirk,D,2019-2020,3,3900000
Biega,D,2019-2020,1,875000
Borowiecki,D,2019-2020,2,2000000
Muzz,D,2019-2020,4,5625000
Stralman,D,2018-2019,3,5500000
Gunnarsson,D,2018-2019,2,1750000
Holden,D,2018-2019,2,1700000
Irwin,D,2019-2020,1,700000
Polak,D,2018-2019,1,1750000
Edler,D,2018-2019,2,6000000
Johnson,D,2019-2020,1,1150000
Braun,D,2019-2020,2,1800000
Coburn,D,2018-2019,2,1700000
Sekera,D,2019-2020,2,1500000
Hainsey,D,2018-2019,1,3500000
Saros,G,2017-2018,3,1500000
Demko,G,2018-2019,2,1050000
Delia,G,2018-2019,3,1000000
Driedger,G,2018-2019,2,850000
Petersen,G,2018-2019,3,858333
Blackwood,G,2019-2020,3,2800000
Georgiev,G,2019-2020,2,2425000
Gibson,G,2017-2018,8,6400000
Korpi,G,2019-2020,2,2800000
Allen - 1,G,2015-2016,4,4350000
Jarry,G,2019-2020,3,3500000
Vasilevski,G,2018-2019,8,9500000
Hellebuyck,G,2017-2018,6,6166667
Rask,G,2012-2013,8,7000000
Rittich,G,2018-2019,2,2750000
Subban,G,2019-2020,2,850000
Grubauer,G,2017-2018,3,3333333
Merzlekins,G,2019-2020,2,4000000
Quick,G,2011-2012,10,5800000
Murray,G,2019-2020,4,6250000
Binnington,G,2018-2019,2,4400000
Andersen,G,2015-2016,5,5000000
Ullmark,G,2019-2020,1,2600000
Mrazek,G,2018-2019,2,3125000
DeSmith,G,2018-2019,3,1250000
Jones,G,2016-2017,6,5750000
Campbell,G,2018-2019,2,1650000
Brossoit,G,2019-2020,1,1500000
Reimer,G,2015-2016,5,3400000
Kuemper,G,2018-2019,2,4500000
Raanta,G,2017-2018,3,4250000
Francouz,G,2019-2020,2,2000000
Bernier,G,2017-2018,3,3000000
Price,G,2016-2017,8,10500000
Nilsson,G,2018-2019,2,2600000
Dubnyk,G,2014-2015,6,4333333
Lehner,G,2019-2020,5,5000000
Markstrom,G,2019-2020,6,6000000
Bishop,G,2016-2017,6,4916667
Koskinen,G,2018-2019,3,4500000
Bobrovsky,G,2018-2019,7,10000000
Stalock,G,2017-2018,3,785000
Varlamov,G,2018-2019,4,5000000
Holtby,G,2019-2020,2,4300000
Hutton,G,2017-2018,3,2750000
Talbot,G,2019-2020,3,3666667
Fleury,G,2017-2018,3,7000000
Halak,G,2019-2020,1,2250000
Khudobin,G,2019-2020,3,3333333
Greiss,G,2019-2020,2,3600000
Crawford,G,2019-2020,2,3900000
Elliott,G,2019-2020,1,1500000
Rinne,G,2017-2018,2,5000000
McElhinney,G,2018-2019,2,1300000
Smith,G,2019-2020,1,1500000
Hank,G,2019-2020,1,1500000
Miller,G,2019-2020,1,1000000
